hipoteza,tresc,U1,U2,U3,U4,U5,U6,potwierdza_n,przeczy_n,czesciowo_n,prog_raportowania,uwaga
H1,Poproszony o kwotę pierwszego miesiąca uczestnik poda kwotę zaniżoną o co najmniej jeden składnik,potwierdza,przeczy,przeczy,potwierdza,potwierdza,potwierdza,4,2,0,wzór wart projektowania,Metryka główna. Mediana błędu 2925 zł (zakres 0–3650). Dwa przypadki bez błędu to osoby z 3+ najmami lub własną procedurą.
H2,"Uczestnik ustawia filtr ceny na wysokość budżetu całkowitego, nie na budżet minus spodziewany czynsz",potwierdza,częściowo przeczy,przeczy,potwierdza,częściowo potwierdza,częściowo przeczy,2,1,3,sygnał,"Trzy warianty zachowania: brak odjęcia (U1, U4), odjęcie na złym składniku (U2, U5), odjęcie na własnym nieaktualnym punkcie odniesienia (U6). Prawidłowo odjęła tylko U3."
H3,Przy odwróconym porządku kosztu uczestnik wskazuje jako tańszą ofertę o niższej cenie bazowej,potwierdza,przeczy,przeczy,potwierdza,przeczy,przeczy,2,4,0,sygnał,"Wynik skażony kolejnością zadań: Z4 następuje po Z3, w którym uczestnik już raz sumował składniki. U6 sam zadeklarował, że poza testem wybrałby błędnie."
H4,Brak informacji o czynszu na karcie nie jest zauważany jako brak,potwierdza,przeczy,przeczy,potwierdza,częściowo przeczy,przeczy,2,3,1,sygnał,"Wynik skażony w tym samym mechanizmie. Jedyna nieskażona obserwacja to U4, który nie zauważył czynszu również w Z3 i Z4. Jedna obserwacja nie rozstrzyga hipotezy."
